Player Name,Team Name,Price,Year
Chris lynn,Mumbai Indians,2 crore,2020
Naman Dhir,Mumbai Indians,2 crore,2020
Rahul chahar,Mumbai Indians,1.9 crore,2020
Mitchell mcclenaghan,Mumbai Indians,1 crore,2020
Anmolpreet singh,Mumbai Indians,0.8 crore,2020
Dhawal kulkarni,Mumbai Indians,0.75 crore,2020
Saurabh tiwary,Mumbai Indians,0.5 crore,2020
Jayant yadav,Mumbai Indians,0.5 crore,2020
Aditya tare,Mumbai Indians,0.2 crore,2020
Anshul Kamboj,Mumbai Indians,0.2 crore,2020
Mohammed Shami,Mumbai Indians,0.2 crore,2020
Sameer Rizvi,Mumbai Indians,0.2 crore,2020
Lasith malinga,Mumbai Indians,0 crore,2020
Sherfane rutherford,Mumbai Indians,0 crore,2020
Hardik pandya,Mumbai Indians,0 crore,2020
Steven smith,Rajasthan Royals,12.5 crore,2020
Sanju samson,Rajasthan Royals,8 crore,2020
Jofra Archer,Rajasthan Royals,7.2 crore,2020
Mikyle Louis,Rajasthan Royals,4.4 crore,2020
Ankit rajpoot,Rajasthan Royals,3 crore,2020
Jaydev unadkat,Rajasthan Royals,3 crore,2020
Rahul tewatia,Rajasthan Royals,3 crore,2020
Robin uthappa,Rajasthan Royals,3 crore,2020
Yashasvi Jaiswal,Rajasthan Royals,2.4 crore,2020
Mayank markande,Rajasthan Royals,2 crore,2020
Kartik Tyagi,Rajasthan Royals,1.3 crore,2020
Andrew tye,Rajasthan Royals,1 crore,2020
Tom curran,Rajasthan Royals,1 crore,2020
Mohammad Ali,Rajasthan Royals,0.8 crore,2020
Shreyas gopal,Rajasthan Royals,0.8 crore,2020
David Miller,Rajasthan Royals,0.75 crore,2020
Oshane thomas,Rajasthan Royals,0.5 crore,2020
Malsha Tharupathi,Rajasthan Royals,0.3 crore,2020
Mahipal lomror,Rajasthan Royals,0.2 crore,2020
Manan vohra,Rajasthan Royals,0.2 crore,2020
Pat Cummins,Rajasthan Royals,0.2 crore,2020
Pathum Kumara,Rajasthan Royals,0.2 crore,2020
Riyan parag,Rajasthan Royals,0.2 crore,2020
Varun aaron,Rajasthan Royals,0 crore,2020
Ben stokes,Rajasthan Royals,0 crore,2020
Virat kohli,Royal Challengers Bangalore,17 crore,2020
Ab de villiers,Royal Challengers Bangalore,11 crore,2020
Ronan Herrmann,Royal Challengers Bangalore,10 crore,2020
Yuzvendra chahal,Royal Challengers Bangalore,6 crore,2020
Shivam dube,Royal Challengers Bangalore,5 crore,2020
Aaron Finch,Royal Challengers Bangalore,4.4 crore,2020
Umesh yadav,Royal Challengers Bangalore,4.2 crore,2020
Kane richardson,Royal Challengers Bangalore,4 crore,2020
Washington sundar,Royal Challengers Bangalore,3.2 crore,2020
Navdeep saini,Royal Challengers Bangalore,3 crore,2020
Thomas Kaber,Royal Challengers Bangalore,2.6 crore,2020
Dale steyn,Royal Challengers Bangalore,2 crore,2020
Moeen Ali,Royal Challengers Bangalore,1.7 crore,2020
Pawan negi,Royal Challengers Bangalore,1 crore,2020
Gurkeerat singh,Royal Challengers Bangalore,0.5 crore,2020
Nqabayomzi Peter,Royal Challengers Bangalore,0.5 crore,2020
Keith Dudgeon,Royal Challengers Bangalore,0.2 crore,2020
Kwena Maphaka,Royal Challengers Bangalore,0.2 crore,2020
Patrick Kruger,Royal Challengers Bangalore,0.2 crore,2020
Devdutt Padikkal,Royal Challengers Bangalore,0.2 crore,2020
Kyle Simmonds,Royal Challengers Bangalore,0 crore,2020
David warner,Sunrisers Hyderabad,12.5 crore,2020
Manish pandey,Sunrisers Hyderabad,11 crore,2020
Rashid Khan,Sunrisers Hyderabad,9 crore,2020
Bhuvneshwar kumar,Sunrisers Hyderabad,8.5 crore,2020
T natarajan,Sunrisers Hyderabad,4 crore,2020
Siddarth kaul,Sunrisers Hyderabad,3.8 crore,2020
Vijay shankar,Sunrisers Hyderabad,3.2 crore,2020
Kane williamson,Sunrisers Hyderabad,3 crore,2020
Khaleel ahmed,Sunrisers Hyderabad,3 crore,2020
Jonny bairstow,Sunrisers Hyderabad,2.2 crore,2020
Mitchell marsh,Sunrisers Hyderabad,2 crore,2020
